Simulated individual number range	Number simulated pedigrees satisfying peak ranges Nps & Npp in current individual number range	Number simulated pedigrees satisfying peak ranges Nps & Npp in all individual number ranges	Length of current range	Posterior probability for N being in current range	Posterior probability for N exceeding current range
(100, 125)	27.0	841.0000000000002	None	0.01672862453531598	0.983271375464684
(125, 150)	40.99999999999999	841.0000000000002	None	0.025402726146220557	0.9578686493184635
(150, 200)	64.00000000000001	841.0000000000002	None	0.07930607187112763	0.8785625774473358
(200, 250)	92.00000000000001	841.0000000000002	None	0.11400247831474597	0.7645600991325899
(250, 300)	131.00000000000006	841.0000000000002	None	0.1623296158612144	0.6022304832713755
(300, 350)	126.00000000000004	841.0000000000002	None	0.15613382899628253	0.44609665427509293
(350, 400)	128.00000000000006	841.0000000000002	None	0.1586121437422553	0.2874845105328377
(400, 450)	117.00000000000004	841.0000000000002	None	0.14498141263940523	0.1425030978934325
(450, 500)	115.00000000000003	841.0000000000002	None	0.1425030978934325	0.0
